MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
54,0,0,2051,0,0,0,0,1603,-0.7265625,-1.678466796875,1.15625,-0.9921875,0,0,0,0
58,0,0,2051,0,0,0,0,1576,-0.75,-1.67861323242187,1.1171875,-0.9375,0,0,0,0
58,0.100000000000001,0,2052,0.0078125,0,380,0,1547,-0.734375,-1.6794547065625,1.1171875,-0.984375,0,0,0,0
-52,0.100000000000001,0,2039,0.0078125,0,380,0,1488,-0.734375,-1.68042579038612,1.109375,-0.875,0,0,0,0
54,0.100000000000001,0,1926,0.0078125,0,370,0,1437,-0.7421875,-1.68075401507028,1.1875,-0.9296875,0,0,0,0
-56,0,0,1893,0.0078125,0,350,0,1415,-0.8515625,-1.68018957894779,1.1640625,-0.8984375,0,0,0,0
-134,0,0,1885,0.0078125,0,350,0,1399,-0.859375,-1.67941112028701,1.15625,-0.921875,0,0,0,0
-134,0.100000000000001,0,1929,0.00390625,380,0,0,1374,-0.7109375,-1.67971428510394,1.1640625,-0.8828125,0,0,0,0
-134,0,0,1963,0.00390625,404,0,0,1352,-0.703125,-1.68057420360045,1.2265625,-0.96875,0,0,0,0
-134,0,0,1995,0.00390625,380,0,0,1327,-0.6953125,-1.68018062543537,1.09375,-0.9140625,0,0,0,0
-71,0,0,2133,0.00390625,380,0,0,1327,-0.6796875,-1.68094016777208,1.078125,-0.984375,0,0,0,0
-55,-0.0999999999999996,0,2178,0.00390625,388,0,0,1273,-0.5625,-1.68234956732882,1.109375,-0.859375,0,0,0,0
44,-0.0999999999999996,0,2188,0.0078125,380,0,0,1305,-0.6640625,-1.68274380074663,1.1328125,-0.9296875,0,0,0,0
37,-0.0999999999999996,0,2190,0.0078125,380,0,0,1541,-0.7734375,-1.6831668510202,1.0625,-0.8828125,0,0,0,0
37,-0.0999999999999996,0,2174,0.0078125,380,0,0,1868,-0.9140625,-1.684361909756,1.140625,-0.9609375,0,0,0,0
41,-0.199999999999999,0.7734375,2149,0.0078125,380,0,0,2035,-0.8125,-1.68468851518918,1.1015625,-0.890625,1838,1499,1812,1576
37,-0.199999999999999,0.7421875,2101,0.0078125,368,350,0,2123,-0.7734375,-1.68489177519649,1.078125,-0.984375,1836,1481,1808,1572
-73,-0.0999999999999996,0.8046875,2041,0.015625,360,0,0,2249,-0.84375,-1.68572395627673,1.1640625,-0.8515625,1830,1481,1793,1562
-151,-0.0999999999999996,0.796875,2029,0.015625,360,0,0,2398,-0.8359375,-1.68599362624095,1.1328125,-0.9453125,1842,1492,1808,1582
-148,-0.0999999999999996,0.796875,2026,0.015625,380,0,0,2379,-0.7578125,-1.68634070415204,1.1015625,-0.890625,1846,1510,1819,1585
