Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15
339,0.300000000000001,0.8515625,1878,0,522,2667,1.7890625,-0.941758906136534,1.4921875,-1.7265625,1834,1635,1696,1480
339,0.300000000000001,0.796875,1992,0,522,2619,1.6875,-0.943368862016024,1.1328125,-1.765625,1823,1658,1672,1461
339,0.200000000000001,0.7890625,2102,0,559,2631,1.9609375,-0.945176297991138,0.7734375,-1.7734375,1883,1712,1701,1468
339,-0.0999999999999996,0.6875,2102,380,541,2503,2.1953125,-0.95109421165717,1.421875,-2.0234375,1909,1707,1670,1445
312,-0.0999999999999996,0.5859375,2143,380,531,2455,2.46875,-0.947325513313527,1.4140625,-1.875,1916,1726,1663,1428
287,-0.199999999999999,0.5390625,2200,380,449,2317,1.7890625,-0.936986346659471,1.328125,-1.9765625,1926,1752,1638,1421
312,-0.399999999999999,0.4375,2219,411,357,2244,0.625,-0.931114265794844,0.7421875,-1.9765625,1968,1781,1619,1428
274,-0.5,0.453125,2222,427,320,2224,-0.1796875,-0.935431278269568,1.3515625,-2.109375,2011,1805,1605,1423
197,-0.5,0.4609375,2222,435,320,2187,0.0390625,-0.935209096891715,1.3671875,-1.9453125,2000,1807,1614,1431
204,-0.6,0.375,2222,443,0,2149,-0.2890625,-0.924477222258721,2.609375,-2.1484375,1973,1814,1645,1433
204,-0.699999999999999,0.28125,2263,450,0,2147,-0.5546875,-0.893000196409047,1.21875,-1.921875,1950,1764,1605,1390
204,-0.799999999999999,0.234375,2377,466,0,2147,-1.7734375,-0.875529521074146,0.9453125,-1.9765625,1981,1786,1630,1424
197,-0.9,0.28125,2323,488,0,2156,-2.3984375,-0.87139989964447,1.390625,-1.90625,1951,1765,1625,1443
204,-0.9,0.21875,2251,488,0,2599,-2.296875,-0.86735835787875,0.6015625,-1.625,1916,1750,1630,1448
192,-0.799999999999999,0.328125,2361,474,0,2791,-1.765625,-0.879210461902761,0.0859375,-1.46875,1907,1697,1632,1453
165,-0.799999999999999,0.25,2420,482,0,2741,-1.9140625,-0.904451167695371,0.90625,-1.5859375,1893,1646,1628,1468
165,-0.699999999999999,0.3046875,2430,466,0,2829,-2.15625,-0.925544545944274,0.296875,-1.265625,1829,1599,1612,1454
165,-0.6,0.296875,2426,466,0,2900,-2.4921875,-0.9520917667219,0.34375,-1.1484375,1781,1609,1623,1458
165,-0.299999999999999,0.328125,2373,474,0,2833,-3.0703125,-0.986401152883665,-0.59375,-0.9609375,1820,1640,1644,1476
243,-0.299999999999999,0.453125,2341,489,329,2899,-2.9375,-1.03814880870552,-0.578125,-0.9140625,1832,1631,1642,1481
327,-0.299999999999999,0.5390625,2320,482,403,2887,-2.3828125,-1.09949977548328,-0.296875,-0.828125,1795,1599,1635,1473
327,-0.0999999999999996,0.5234375,2188,404,495,2890,-2.375,-1.15632722717858,0.1015625,-0.5625,1781,1597,1667,1498
327,0,0.5703125,2058,411,577,2941,-2.890625,-1.20506268693985,0.0546875,-0.71875,1759,1543,1683,1497
327,0.200000000000001,0.65625,1972,474,614,2717,-3.0234375,-1.24772282696119,0.3359375,-0.7265625,1796,1537,1724,1526
316,0.300000000000001,0.75,1789,497,642,2728,-3.3515625,-1.28364178164205,0.421875,-0.59375,1772,1527,1741,1509
316,0.600000000000001,0.84375,1770,536,679,2878,-2.7265625,-1.31438045501058,0.5859375,-0.6796875,1752,1503,1763,1527
316,0.700000000000001,0.8515625,1778,552,688,2739,-2.5234375,-1.34217096679421,0.078125,-0.8671875,1769,1481,1824,1592
316,0.700000000000001,0.8125,1840,560,688,2764,-2.109375,-1.38205859909266,-0.6796875,-0.6484375,1779,1478,1841,1618
331,0.9,0.828125,1935,575,734,2789,-2.15625,-1.43882108500085,-0.1875,-0.7421875,1769,1511,1852,1622
369,0.700000000000001,0.765625,2169,575,734,2776,-1.3984375,-1.49394131172885,-0.09375,-1.0703125,1743,1490,1867,1611
479,0.700000000000001,0.7578125,2196,583,734,2774,-0.7265625,-1.54412431831539,-0.2421875,-1.1328125,1748,1420,1889,1608
483,0.5,0.6953125,2187,560,715,2779,-0.3671875,-1.59193767625073,0.65625,-1.2265625,1771,1402,1895,1608
373,0.200000000000001,0.578125,2229,521,669,2811,-0.5078125,-1.62698252570793,0.6015625,-1.59375,1761,1428,1871,1588
320,0.100000000000001,0.6484375,2316,497,642,2821,-0.3125,-1.65302024565497,0.890625,-1.6875,1787,1436,1867,1565
320,0.100000000000001,0.6484375,2358,0,614,2836,0.15625,-1.6684742117609,1.6796875,-1.921875,1810,1371,1835,1521
320,0,0.5859375,2336,411,596,2918,0.7890625,-1.66392432229351,1.9375,-2,1787,1316,1779,1490
320,-0.0999999999999996,0.5234375,2161,388,449,2943,0.328125,-1.6448048770208,1.546875,-2.140625,1761,1343,1767,1502
294,-0.199999999999999,0.484375,2106,419,384,2849,-0.2890625,-1.62869322997147,1.1328125,-2.046875,1769,1363,1775,1532
254,-0.299999999999999,0.421875,2101,419,329,2695,-0.46875,-1.62005903605881,1.5625,-2.140625,1809,1364,1780,1564
243,-0.5,0.3515625,2134,427,320,2858,-0.0234375,-1.60773184523219,1.453125,-2.171875,1825,1367,1754,1556
220,-0.6,0.2421875,2177,435,320,2662,0.6640625,-1.59096959076023,2.5,-2.2734375,1823,1398,1746,1565
212,-0.799999999999999,0.2734375,2228,443,0,2848,0.703125,-1.55684820492227,2.46875,-2.171875,1791,1415,1742,1555
212,-0.9,0.109375,2256,427,0,2776,0.078125,-1.51452125520491,2.0234375,-2.09375,1833,1458,1749,1562
186,-1.1,0.0078125,2276,0,490,2700,-0.2578125,-1.47923164636631,1.46875,-2.0234375,1849,1437,1726,1555
186,-1.2,0.0078125,2377,411,0,2924,-0.765625,-1.45284587024226,2.2890625,-2.1796875,1825,1412,1709,1566
186,-1.2,0.0234375,2257,443,0,2808,-0.375,-1.41504265087311,2.9296875,-1.796875,1797,1397,1712,1564
175,-1.2,0,2164,525,0,2694,0.2109375,-1.362644194407,1.4296875,-1.265625,1788,1400,1723,1583
144,-1.1,0.0703125,2199,540,0,2833,-0.265625,-1.33478007765411,0.4140625,-1.1484375,1774,1390,1710,1607
105,-1,0.046875,2232,525,0,2779,-0.453125,-1.33959979676025,0.9921875,-0.921875,1799,1409,1721,1617
105,-0.9,0.046875,2312,495,0,2773,-0.953125,-1.33841282089362,2.59375,-0.5,1813,1441,1726,1589
105,-0.699999999999999,0.1171875,2310,473,0,2799,-0.578125,-1.31046589339115,1.4765625,-0.515625,1817,1465,1720,1579
215,-0.6,0.1015625,2328,450,0,2909,-0.4140625,-1.29289837290177,0.828125,-0.4375,1822,1480,1740,1606
244,-0.5,0.078125,2313,420,420,2826,-0.46875,-1.28513465010306,2.1171875,-0.296875,1826,1480,1767,1602
286,-0.399999999999999,0.1484375,2312,390,520,2845,-1.234375,-1.25766156283846,2.5234375,-0.0234375,1820,1504,1776,1561
244,-0.299999999999999,0.1171875,2314,360,540,2963,-1.59375,-1.21893148668551,1.0546875,-0.0703125,1808,1507,1757,1535
201,-0.299999999999999,0.1484375,2000,0,540,2855,-1.8515625,-1.20777316507138,-0.6015625,-0.1484375,1761,1473,1728,1527
201,-0.0999999999999996,0.375,1770,0,460,2875,-1.453125,-1.23392644700699,1.3125,-0.109375,1744,1456,1749,1529
139,0.100000000000001,0.4453125,1671,0,430,2812,-1.953125,-1.24277208324094,2.03125,-0.2109375,1738,1453,1778,1542
139,0.4,0.5859375,1724,0,458,2785,-1.90625,-1.22699828318611,1.015625,-0.2421875,1733,1459,1794,1546
200,0.600000000000001,0.546875,1799,0,412,2750,-2.3203125,-1.22128533273053,0.5,-0.4375,1746,1462,1817,1588
200,0.700000000000001,0.5546875,1912,0,421,2717,-1.7734375,-1.2282116656458,1.34375,-0.546875,1722,1431,1818,1605
200,0.700000000000001,0.5234375,1900,0,495,2629,-0.8515625,-1.22495972676414,1.890625,-0.6875,1700,1404,1844,1611
200,0.600000000000001,0.4296875,1875,380,476,2596,-0.9296875,-1.20723569158259,1.6328125,-0.9453125,1703,1434,1869,1625
200,0.600000000000001,0.484375,2041,380,476,2528,-0.6328125,-1.18635019435036,1.8046875,-1.234375,1699,1412,1826,1588
104,0.5,0.4921875,2121,0,476,2502,-0.421875,-1.16472386382466,1.5,-1.28125,1746,1453,1813,1580
72,0.4,0.453125,2175,0,384,2448,0.0703125,-1.1446910606382,1.984375,-1.5390625,1716,1439,1778,1565
59,0.4,0.5,2167,380,329,2449,0.484375,-1.11958474554678,1.6015625,-1.7578125,1717,1456,1788,1578
59,0.4,0.5703125,1975,411,320,2380,0.1875,-1.09288703872909,1.953125,-1.984375,1758,1484,1777,1577
59,0.4,0.5703125,1979,0,350,2269,-0.5703125,-1.06265014434468,1.828125,-2.0234375,1825,1547,1789,1601
78,0.300000000000001,0.515625,1975,396,0,2041,-0.4375,-1.03023469248296,1.75,-2.171875,1818,1553,1780,1632
78,0.300000000000001,0.4609375,1972,375,0,2435,0.15625,-1.00188403238477,1.3828125,-2.2421875,1794,1522,1764,1639
78,0.100000000000001,0.453125,1964,0,0,2115,0.3515625,-0.978069111774177,1.8515625,-2.1875,1770,1465,1734,1612
78,0,0.390625,2049,0,0,2087,0.3046875,-0.946218377713953,2.3125,-2.078125,1812,1469,1762,1635
78,-0.0999999999999996,0.3828125,2067,480,470,1938,-0.109375,-0.909873195949135,1.046875,-1.9765625,1820,1473,1745,1647
78,-0.0999999999999996,0.4765625,2058,473,490,2247,-0.359375,-0.895197098170141,0.9375,-2,1801,1445,1692,1621
109,-0.0999999999999996,0.4921875,2054,428,440,1869,-0.3125,-0.88934987984799,1.640625,-1.6015625,1789,1459,1677,1613
109,0,0.421875,2048,405,400,2020,0.3359375,-0.873170386566987,1.6796875,-1.3359375,1774,1470,1676,1604
109,0,0.4609375,2064,380,0,2123,0.1171875,-0.859287602056588,0.46875,-1.2109375,1749,1449,1666,1598
-1,0,0.6328125,2124,388,329,2272,-0.3828125,-0.865457854146128,0.84375,-1.1953125,1743,1433,1655,1588
-40,0.100000000000001,0.6171875,2190,404,0,2111,-0.7734375,-0.874778939402004,1.3046875,-0.8359375,1765,1446,1667,1587
52,0.300000000000001,0.625,2212,398,0,2210,-0.921875,-0.875647441860311,1.1640625,-0.6015625,1750,1449,1653,1564
68,0.300000000000001,0.6015625,2344,405,0,2391,-0.609375,-0.877610846482858,0.59375,-0.5390625,1781,1474,1670,1583
68,0.300000000000001,0.6328125,2408,405,350,2199,-0.2109375,-0.890816228891254,0.84375,-0.5625,1770,1465,1680,1577
6,0.4,0.65625,2398,413,350,2452,-0.390625,-0.901081257041358,1.46875,-0.3828125,1760,1452,1697,1562
-17,0.300000000000001,0.6796875,2360,405,0,2479,-0.7265625,-0.901177755931015,1.1796875,-0.265625,1795,1478,1724,1584
-33,0.300000000000001,0.71875,2314,398,0,2552,-0.7890625,-0.903760983048094,0.75,-0.5078125,1788,1458,1702,1558
-33,0.4,0.78125,2172,404,0,2603,-0.671875,-0.912360967406499,1.34375,-0.4375,1805,1473,1735,1578
-66,0.5,0.8671875,2123,427,0,2603,-0.484375,-0.914607544437202,1.125,-0.2265625,1783,1480,1782,1598
-66,0.600000000000001,0.8046875,1979,405,0,2606,-0.0703125,-0.915785164263978,0.8671875,-0.421875,1799,1502,1807,1629
-24,0.600000000000001,0.875,1929,404,0,2625,-0.2890625,-0.92201541773565,0.8515625,-0.515625,1804,1502,1773,1601
75,0.5,0.9296875,1966,443,0,2632,-0.734375,-0.931162153776397,1.2265625,-0.421875,1818,1497,1749,1573
104,0.5,0.8515625,2130,396,0,2625,-0.609375,-0.930312025999312,1.984375,-0.4765625,1813,1531,1794,1581
104,0.5,0.8046875,2167,388,375,2659,-0.1171875,-0.909782905458693,1.796875,-0.6796875,1792,1509,1802,1589
104,0.5,0.90625,2155,380,0,2726,-0.109375,-0.886387898388381,1.609375,-0.5703125,1754,1465,1794,1559
104,0.5,0.90625,2142,383,350,2688,-0.1171875,-0.861188555445506,1.8984375,-0.71875,1755,1458,1779,1553
-6,0.4,0.8828125,2152,390,400,2708,-1.046875,-0.837029062779229,0.4765625,-0.6484375,1761,1489,1760,1555
-8,0.4,0.9375,2134,0,400,2732,-0.5,-0.838175326770622,0.4453125,-0.6796875,1769,1492,1738,1549
-8,0.300000000000001,0.921875,2123,368,390,2700,-0.0390625,-0.850697766188997,1.5234375,-0.7578125,1724,1450,1701,1508
-8,0.300000000000001,1.0078125,1958,0,350,2735,0.0625,-0.847034769874763,1.8203125,-0.8984375,1783,1487,1748,1536
-8,0.300000000000001,0.984375,2001,383,0,2656,-0.59375,-0.832310139006328,1.046875,-0.9609375,1747,1442,1697,1511
-48,0.300000000000001,1,2080,398,0,2707,-1.0390625,-0.826212426296367,1.203125,-1.078125,1789,1486,1727,1539
-48,0.300000000000001,0.96875,2146,420,0,2632,-1.1796875,-0.819868074654742,1.3671875,-0.9609375,1807,1510,1734,1548
-49,0.4,0.9453125,2172,405,0,2525,-0.8828125,-0.814561029784832,0.8359375,-0.921875,1791,1509,1715,1543
-49,0.300000000000001,1.0078125,2167,405,350,2703,-0.7109375,-0.820570711471742,0.7421875,-1.0078125,1765,1470,1712,1533
-43,0.300000000000001,0.9921875,2265,398,350,2730,-0.796875,-0.832343263418826,1.7265625,-0.9140625,1777,1503,1740,1562
-43,0.200000000000001,0.9296875,2265,405,0,2670,-0.9453125,-0.828436687415101,1.59375,-0.890625,1776,1538,1758,1574
-43,0.100000000000001,0.96875,2235,413,0,2779,-1.234375,-0.820863604665225,0.5390625,-1.1484375,1771,1532,1743,1556
-35,0.200000000000001,1.1484375,2209,413,0,2751,-1.2890625,-0.833290478564626,0.0703125,-1.0625,1722,1477,1682,1518
-43,0.4,1.2578125,2229,458,0,2704,-1,-0.857699227285696,1.3984375,-1.1640625,1779,1506,1735,1568
-35,0.4,1.15625,2219,466,0,2804,-0.609375,-0.864046708964971,1.5,-1.140625,1763,1449,1729,1558
0,0.4,1.0390625,2186,435,0,2785,-0.6953125,-0.856387164804552,1.625,-1.28125,1802,1470,1754,1592
0,0.4,1.0703125,2180,419,366,2801,-0.6953125,-0.843175401453945,1.6015625,-1.2734375,1820,1453,1735,1579
72,0.300000000000001,1.015625,2180,411,366,2791,-0.9296875,-0.823437935451161,2.3984375,-1.1875,1811,1439,1710,1560
72,0.100000000000001,1.046875,2159,0,350,2764,-0.4765625,-0.786045022110796,2.40625,-1.171875,1819,1455,1709,1559
72,0,1.015625,1998,360,360,2887,-0.6015625,-0.746146267619082,0.8046875,-1.1640625,1811,1464,1715,1555
