MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
462,1,0,2509,0,419,752,0,2962,-2.9765625,-3.8221435546875,-1.1875,-1.5390625,0,0,0,0
523,0.9,0,2506,0,388,752,0,3021,-3.0546875,-3.84439672851562,-0.3671875,-1.703125,0,0,0,0
477,0.600000000000001,0,2260,0,380,734,0,3066,-3.046875,-3.88933946054687,0.140625,-1.953125,0,0,0,0
367,0.5,0,1884,0,575,743,0,2817,-2.9921875,-3.9337888727275,-0.2421875,-1.59375,0,0,0,0
452,0.4,0,1680,8.62890625,606,725,0,2748,-3.3828125,-3.98423968789418,-0.3359375,-1.5078125,0,0,0,0
477,0.200000000000001,0,1660,8.62890625,692,706,0,3016,-2.9921875,-4.03998105077083,0.0078125,-1.390625,0,0,0,0
480,0.200000000000001,0,2054,8.62890625,692,715,0,2818,-2.1484375,-4.09100739073948,-0.1796875,-1.1171875,0,0,0,0
480,0.200000000000001,0,2263,8.62890625,677,706,0,2870,-1.4609375,-4.14268199834064,-0.109375,-0.984375,0,0,0,0
480,0,0,2404,8.62890625,638,688,0,2870,-0.84375,-4.1919807789422,0.140625,-0.8359375,0,0,0,0
456,-0.199999999999999,0,2597,8.69140625,583,651,0,2972,-0.6796875,-4.23526257314848,0.6875,-0.9453125,0,0,0,0
361,-0.399999999999999,0,2646,8.69140625,560,623,0,3025,0.2578125,-4.25945559097724,1.828125,-0.84375,0,0,0,0
361,-0.699999999999999,0,2704,8.69140625,521,541,0,2999,0.2578125,-4.25723326397053,1.8515625,-0.8671875,0,0,0,0
361,-0.9,0,2596,8.69140625,489,458,0,2971,1.09375,-4.2375121101567,2.3046875,-0.84375,0,0,0,0
361,-1,0,2476,8.69140625,450,384,0,2940,1.4375,-4.20335043883581,2.2890625,-0.609375,0,0,0,0
305,-1.2,0,2373,8.5703125,411,320,0,3026,1.0390625,-4.15546289638777,3.7265625,-1.1953125,0,0,0,0
304,-1.3,0,2249,8.5703125,419,320,0,2925,0.7109375,-4.07983087384481,3.1640625,-0.8984375,0,0,0,0
304,-1.3,0,2209,8.5703125,427,320,0,2971,0.0390625,-3.99727406772371,3.4296875,-1.203125,0,0,0,0
334,-1.4,0,2208,8.5703125,427,0,0,3009,0.3515625,-3.91062901478026,3.15625,-1.125,0,0,0,0
248,-1.4,0,2269,8.5703125,427,0,0,2974,0.296875,-3.82792767765712,3.140625,-1.234375,0,0,0,0
