Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15
259,-2.3,-0.171875,1657,495,991,2902,4.375,-0.0440472689656767,5.1015625,-1.59375,2093,1129,1677,1843
259,-2.3,-0.28125,1345,458,1072,2883,5.0078125,0.113878258162909,6.3125,-1.7265625,2193,1140,1654,1890
259,-2.3,-0.3203125,1085,540,1118,2978,5.6015625,0.295572610715402,6.9765625,-1.953125,2256,1153,1614,1930
259,-2.2,-0.140625,825,465,1152,3009,5.4375,0.503031238614654,7.015625,-1.8515625,2323,1189,1618,1982
258,-2,-0.09375,1399,465,1198,2506,5.9765625,0.734355071899062,9.7109375,-2.0625,2364,1197,1609,2007
264,-1.5,-0.15625,1925,510,1244,3242,6,1.02004462065298,7.71875,-1.7421875,2379,1202,1582,2040
289,-1.3,-0.1953125,1822,495,1302,3023,5.171875,1.29128493482259,5.3046875,-1.4921875,2443,1244,1544,2077
289,-1.3,-0.3671875,1803,495,1290,2578,4.2265625,1.50467334641271,6.203125,-1.1328125,2421,1307,1471,2076
236,-1.2,-0.4921875,2508,2000,1290,2981,4.0703125,1.71465512065939,8.203125,-1.15625,2432,1368,1445,2075
185,-1.1,-0.5625,2807,2000,1302,3031,3.8046875,1.95792596007834,6.71875,-0.6328125,2411,1394,1380,2015
116,-1.3,-0.5859375,2833,2000,1290,2985,3.59375,2.18182697129496,4.4296875,-0.15625,2435,1434,1365,2006
116,-1.3,-0.4375,2751,2000,347,2918,1.3828125,2.35681900322367,4.3671875,0.1640625,2407,1415,1314,1932
115,-0.9,-0.2265625,2931,2000,278,3023,-0.65625,2.51262381567354,5.203125,-0.0234375,2397,1428,1292,1793
94,-0.9,-0.0546875,2969,2000,0,2919,-1.8203125,2.66812320513426,4.2109375,0.0703125,2341,1427,1285,1620
-6,-0.5,-0.109375,2975,2000,0,3004,-2.4453125,2.81452425115112,4.9921875,0.59375,2282,1418,1265,1509
-16,0,-0.1640625,3021,2000,0,2996,-3.8515625,2.96607508053712,5.2578125,0.140625,2243,1403,1255,1517
-75,0,-0.359375,3539,2000,0,2952,-6.3984375,3.12725259517551,4.7265625,0.1875,2219,1394,1247,1513
-141,0,-0.5703125,3655,2000,0,3010,-6.4375,3.28170742860889,3.7421875,0.7734375,2168,1379,1258,1451
-186,-0.0999999999999996,-0.9140625,3627,2000,0,2940,-7.5703125,3.41686114205508,4.40625,0.515625,2144,1401,1310,1477
-186,-0.0999999999999996,-0.8046875,3618,2000,0,2925,-8.21875,3.54599085503576,2.53125,0.2578125,2100,1413,1345,1489
-186,-1.2,-0.859375,3270,2000,0,2987,-8.765625,3.63908155539452,3.7265625,0.0546875,2056,1408,1413,1510
-186,-1.2,-0.859375,3003,2000,0,2807,-8.171875,3.74280076407397,6.3515625,-0.3046875,2042,1418,1477,1516
-93,-1.2,-1.0234375,2733,2000,0,2698,-6.9453125,3.9058953335897,7.3828125,-0.90625,2033,1428,1553,1528
-35,-1.4,-1.0703125,2329,2000,405,2785,-7.6484375,4.12582694543522,8.2109375,-1.4375,2022,1457,1616,1531
75,-1.5,-1.2421875,2304,2000,1164,3007,-8.796875,4.38442001567839,8.125,-1.4296875,1974,1516,1638,1538
162,-1.9,-1.4453125,2383,2000,1405,3044,-7.984375,4.65570672943749,8.8046875,-1.4140625,1916,1565,1656,1550
174,-2.1,-1.6015625,2265,2000,1520,2849,-7.3203125,4.94385203692447,8.7890625,-1.9453125,1863,1585,1682,1543
284,-2.1,-1.5546875,1926,2000,1520,2815,-6.7890625,5.23469822987114,7.5234375,-1.765625,1816,1599,1743,1580
394,-2.2,-1.609375,1972,2000,1520,3000,-7.03125,5.50385295159584,7.96875,-2.015625,1777,1661,1809,1689
504,-2.2,-1.5,1969,2000,1520,2979,-7.609375,5.77822240725491,9.1953125,-2.15625,1677,1707,1804,1789
614,-1.9,-1.3125,1928,2000,1520,2915,-7.1796875,6.07752078668349,6.9765625,-1.8515625,1602,1847,1803,1873
705,-1.9,-1.2109375,2114,2000,1520,2940,-6.3359375,6.33931223102243,4.390625,-1.140625,1543,2025,1811,1927
705,-1.9,-1.0546875,2060,2000,1520,2744,-5,6.52790479959241,4.2421875,-0.890625,1508,2147,1820,1966
746,-1,-0.921875,2244,488,1520,3037,-4.2265625,6.67993503052243,4.4921875,-1.2578125,1483,2133,1805,1984
747,-0.5,-0.734375,2394,360,1520,2979,-3.6796875,6.81825446467386,4.640625,-0.828125,1463,2168,1794,2002
747,0.5,-0.546875,2266,0,1520,2741,-4.3828125,6.94796420646479,4.1953125,-0.8984375,1387,2160,1739,1996
817,1,-0.4765625,2748,360,1520,3042,-3.3671875,7.06391563115548,1.2734375,-0.015625,1295,2153,1705,1941
747,1,-0.3828125,2763,0,1359,2854,-2.0546875,7.09880786986503,-3.1171875,0.65625,1250,2160,1680,1853
753,1.3,-0.15625,2949,525,1072,2903,-1.1640625,7.00493337341859,-4.515625,0.6796875,1234,2162,1619,1731
753,1.5,0.171875,2946,525,715,3078,-1.3125,6.829317487096,-5.4453125,0.375,1185,2155,1546,1625
753,2.5,0.5390625,2987,405,543,2902,-0.8984375,6.59640514193327,-6.3515625,0.8359375,1173,2158,1504,1524
753,2.5,0.859375,3010,443,382,3070,0.3125,6.32491430394837,-5.5703125,0.7890625,1162,2148,1467,1409
753,3.1,1.2265625,2977,614,0,2956,0.546875,6.05237122702225,-4.3046875,0.8046875,1177,2174,1478,1351
753,3.1,1.5546875,2707,2000,0,2830,-0.7890625,5.80375403779144,-5.8828125,0.734375,1181,2164,1507,1300
784,4.2,1.9765625,2883,2000,0,2982,-2.0390625,5.52636321052,-10.2265625,1.1171875,1193,2151,1556,1273
752,5.4,2.4453125,2982,2000,0,2413,-2.7265625,5.15666004095087,-11.15625,0.875,1242,2150,1634,1269
750,6,2.71875,3059,2000,0,2938,-3.5546875,4.72801717152347,-8.1875,0.5625,1285,2164,1731,1261
726,6,2.6015625,3533,2000,0,2963,-4.703125,4.33453982759664,-5.5390625,0.546875,1316,2155,1802,1289
726,6.2,2.7578125,3293,2000,0,2807,-4.65625,4.00992282588358,-5.8359375,0.0703125,1319,2150,1858,1357
726,6.2,3.09375,3100,2000,0,2830,-3.8671875,3.71516189924754,-6.3515625,-0.0546875,1328,2147,1930,1469
726,5.9,3.3828125,2873,2000,0,2982,-3.03125,3.41945638815054,-7.9765625,0.296875,1345,2155,2011,1580
836,6.1,3.6953125,2917,2000,931,2912,-1.1484375,3.08099800846146,-9.984375,-0.1484375,1341,2080,2055,1643
946,6.1,3.859375,2543,2000,1434,2654,-0.2421875,2.67932561239081,-10.1484375,-0.59375,1385,1990,2129,1709
840,6.1,3.9609375,2543,2000,1434,2826,0.4765625,2.26497589192903,-6.6875,-0.9609375,1423,1918,2221,1741
730,6,4.0546875,1062,2000,1434,2795,1.8046875,1.913023529631,-4.546875,-1.4296875,1416,1880,2238,1729
840,5.6,4.03125,630,2000,1434,2754,2.6171875,1.62013498461186,-7.453125,-1.296875,1418,1851,2204,1717
840,5.1,4.0078125,447,2000,1434,2767,3.546875,1.29720499477514,-9.25,-1.453125,1434,1754,2138,1698
782,5.1,3.9375,683,2000,1434,2897,3.7109375,0.924063827969273,-8.5078125,-1.453125,1468,1612,2104,1649
846,4.6,3.859375,854,2000,1434,2870,3.9375,0.547882041983089,-6.5625,-1.4296875,1495,1499,2087,1595
903,4,3.65625,1025,2000,1434,2849,4.5390625,0.206913900411898,-6.3671875,-1.5859375,1511,1466,2066,1556
903,2.5,3.4296875,1311,2000,1434,2924,4.25,-0.111112568344411,-6.4765625,-1.6171875,1517,1423,1983,1536
793,2.5,3.15625,1625,2000,1434,2867,4.5546875,-0.422568006821996,-6.40625,-1.4921875,1540,1384,1931,1521
683,1.8,3.109375,1860,2000,1434,2927,4.7578125,-0.727796355594289,-6.4765625,-1.21875,1591,1346,1901,1537
614,0.9,2.9375,2010,2000,1434,2921,5.296875,-1.04073644193892,-8.1640625,-0.9765625,1635,1337,1848,1540
557,0.200000000000001,2.78125,2366,2000,1434,3006,5.78125,-1.38197881068068,-6.5,-1.34375,1650,1292,1779,1480
557,-0.799999999999999,2.7265625,2698,2000,1434,2975,6.03125,-1.70234787632356,-3.8359375,-1.3515625,1684,1243,1719,1355
511,-1.2,2.625,2815,2000,1434,2971,5.0546875,-1.95110024482963,-2.140625,-1.265625,1793,1267,1728,1292
462,-1.2,2.59375,2814,2000,1204,3001,4.296875,-2.13021113879784,-1.9453125,-1.359375,1853,1282,1703,1263
451,-1.5,2.4765625,2837,2000,1053,2965,3.4453125,-2.28001832034222,-3.4609375,-0.7734375,1878,1277,1663,1197
451,-1.6,2.3984375,2895,2000,1053,2952,2.2109375,-2.43575092393405,-1.6171875,-0.71875,1950,1294,1652,1171
451,-2,2.265625,2975,2000,893,3007,0.4140625,-2.56615164484964,-1.4296875,-0.5546875,2011,1303,1646,1181
451,-2.1,2.0078125,3006,2000,893,3013,-0.9296875,-2.68348506919916,-2.03125,-0.3828125,2040,1283,1671,1174
451,-2.1,1.640625,2971,2000,658,3013,-2.140625,-2.7987975253596,-0.9453125,-0.328125,2068,1298,1740,1190
